FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,EnterGateTime,ExitGateTime,OptDepGate,OptArrGate
AA5735,Y,MKE,DFW,617,715,377,435,609,714,369.0,434.0,3.0,Domestic,0,75,B49,,2016-05-02 07:15:00,2016-05-02 09:36:00,2016-05-02 07:14:00,2016-05-02 09:36:00,2016-05-02 12:15,2016-05-02 14:36,2016-05-02 12:14,2016-05-02 14:36,N956LR,377,435,C14,
AA5823,N,DFW,AMA,617,715,377,435,609,714,369.0,434.0,3.0,,75,0,,B49,2016-05-02 05:00:00,2016-05-02 06:17:00,2016-05-02 04:53:00,2016-05-02 06:09:00,2016-05-02 10:00,2016-05-02 11:17,2016-05-02 09:53,2016-05-02 11:09,N956LR,377,435,,C14
AA2244,N,DFW,IAH,617,715,377,435,609,710,369.0,430.0,2.0,,150,0,,C19,2016-05-02 05:00:00,2016-05-02 06:17:00,2016-05-02 04:59:00,2016-05-02 06:09:00,2016-05-02 10:00,2016-05-02 11:17,2016-05-02 09:59,2016-05-02 11:09,N9405T,377,435,,C11
AA3255,N,DFW,TYR,617,710,377,430,613,707,373.0,427.0,3.0,,75,0,,B30,2016-05-02 05:21:00,2016-05-02 06:17:00,2016-05-02 05:19:00,2016-05-02 06:13:00,2016-05-02 10:21,2016-05-02 11:17,2016-05-02 10:19,2016-05-02 11:13,N907AE,377,430,,C6
AA1255,N,DFW,TUL,617,705,377,425,616,703,376.0,423.0,2.0,,150,0,,C16,2016-05-02 05:05:00,2016-05-02 06:17:00,2016-05-02 05:02:00,2016-05-02 06:16:00,2016-05-02 10:05,2016-05-02 11:17,2016-05-02 10:02,2016-05-02 11:16,N9625W,377,425,,C10
AA1160,Y,RDU,DFW,617,705,377,425,616,703,376.0,423.0,2.0,Domestic,0,150,C16,,2016-05-02 07:05:00,2016-05-02 10:47:00,2016-05-02 07:03:00,2016-05-02 10:38:00,2016-05-02 12:05,2016-05-02 14:47,2016-05-02 12:03,2016-05-02 14:38,N9625W,377,425,C10,
AA3336,N,DFW,XNA,617,705,377,425,628,702,388.0,422.0,3.0,,75,0,,B6,2016-05-02 05:00:00,2016-05-02 06:17:00,2016-05-02 05:02:00,2016-05-02 06:28:00,2016-05-02 10:00,2016-05-02 11:17,2016-05-02 10:02,2016-05-02 11:28,N224NN,377,425,,B5
AA3158,Y,HOU,DFW,617,705,377,425,628,702,388.0,422.0,3.0,Domestic,0,75,B6,,2016-05-02 07:05:00,2016-05-02 08:21:00,2016-05-02 07:02:00,2016-05-02 08:15:00,2016-05-02 12:05,2016-05-02 13:21,2016-05-02 12:02,2016-05-02 13:15,N224NN,377,425,B5,
AA3473,Y,PNS,DFW,618,700,378,420,615,655,375.0,415.0,3.0,Domestic,0,75,B28,,2016-05-02 07:00:00,2016-05-02 08:50:00,2016-05-02 06:55:00,2016-05-02 08:46:00,2016-05-02 12:00,2016-05-02 13:50,2016-05-02 11:55,2016-05-02 13:46,N645AE,378,420,B42,
AA3642,N,DFW,CLL,618,700,378,420,615,655,375.0,415.0,3.0,,75,0,,B28,2016-05-02 05:15:00,2016-05-02 06:18:00,2016-05-02 05:08:00,2016-05-02 06:15:00,2016-05-02 10:15,2016-05-02 11:18,2016-05-02 10:08,2016-05-02 11:15,N645AE,378,420,,B42
AA2801,Y,TYS,DFW,619,715,379,435,602,710,362.0,430.0,3.0,Domestic,0,75,B27,,2016-05-02 07:15:00,2016-05-02 10:26:00,2016-05-02 07:10:00,2016-05-02 10:25:00,2016-05-02 12:15,2016-05-02 14:26,2016-05-02 12:10,2016-05-02 14:25,N864JW,379,435,B6,
AA5659,Y,HSV,DFW,619,700,379,420,622,659,382.0,419.0,3.0,Domestic,0,75,B42,,2016-05-02 07:00:00,2016-05-02 08:49:00,2016-05-02 06:59:00,2016-05-02 08:57:00,2016-05-02 12:00,2016-05-02 13:49,2016-05-02 11:59,2016-05-02 13:57,N246LR,379,420,C28,
AA2803,Y,TUL,DFW,619,715,379,435,633,715,393.0,435.0,3.0,Domestic,0,75,B29,,2016-05-02 07:15:00,2016-05-02 08:26:00,2016-05-02 07:15:00,2016-05-02 08:31:00,2016-05-02 12:15,2016-05-02 13:26,2016-05-02 12:15,2016-05-02 13:31,N678AE,379,435,A16,
AA5718,N,DFW,MAF,619,700,379,420,622,659,382.0,419.0,3.0,,75,0,,B42,2016-05-02 05:00:00,2016-05-02 06:19:00,2016-05-02 04:54:00,2016-05-02 06:22:00,2016-05-02 10:00,2016-05-02 11:19,2016-05-02 09:54,2016-05-02 11:22,N246LR,379,420,,C28
AA2861,N,DFW,SPS,619,715,379,435,633,715,393.0,435.0,3.0,,75,0,,B29,2016-05-02 05:27:00,2016-05-02 06:19:00,2016-05-02 05:50:00,2016-05-02 06:33:00,2016-05-02 10:27,2016-05-02 11:19,2016-05-02 10:50,2016-05-02 11:33,N678AE,379,435,,A16
AA2801,N,DFW,LAW,619,715,379,435,602,710,362.0,430.0,3.0,Domestic,75,0,,B27,2016-05-02 05:25:00,2016-05-02 06:19:00,2016-05-02 05:17:00,2016-05-02 06:02:00,2016-05-02 10:25,2016-05-02 11:19,2016-05-02 10:17,2016-05-02 11:02,N864JW,379,435,,B6
AA3431,N,DFW,ABI,621,715,381,435,617,715,377.0,435.0,3.0,Domestic,75,0,,B32,2016-05-02 05:30:00,2016-05-02 06:21:00,2016-05-02 05:21:00,2016-05-02 06:17:00,2016-05-02 10:30,2016-05-02 11:21,2016-05-02 10:21,2016-05-02 11:17,N698CB,381,435,,C7
AA3431,Y,OKC,DFW,621,715,381,435,617,715,377.0,435.0,3.0,Domestic,0,75,B32,,2016-05-02 07:15:00,2016-05-02 08:18:00,2016-05-02 07:15:00,2016-05-02 08:31:00,2016-05-02 12:15,2016-05-02 13:18,2016-05-02 12:15,2016-05-02 13:31,N698CB,381,435,C7,
AA5899,Y,MEM,DFW,623,715,383,435,620,727,380.0,447.0,3.0,Domestic,0,75,B41,,2016-05-02 07:15:00,2016-05-02 08:49:00,2016-05-02 07:27:00,2016-05-02 08:59:00,2016-05-02 12:15,2016-05-02 13:49,2016-05-02 12:27,2016-05-02 13:59,N917FJ,383,435,A15,
AA5715,N,DFW,FSM,623,715,383,435,620,727,380.0,447.0,3.0,,75,0,,B41,2016-05-02 05:08:00,2016-05-02 06:23:00,2016-05-02 05:00:00,2016-05-02 06:20:00,2016-05-02 10:08,2016-05-02 11:23,2016-05-02 10:00,2016-05-02 11:20,N917FJ,383,435,,A15
AA5892,Y,IAH,DFW,624,705,384,425,631,707,391.0,427.0,3.0,Domestic,0,75,B45,,2016-05-02 07:05:00,2016-05-02 08:20:00,2016-05-02 07:07:00,2016-05-02 08:21:00,2016-05-02 12:05,2016-05-02 13:20,2016-05-02 12:07,2016-05-02 13:21,N909FJ,384,425,C29,
AA5814,N,DFW,ICT,624,705,384,425,631,707,391.0,427.0,3.0,,75,0,,B45,2016-05-02 05:00:00,2016-05-02 06:24:00,2016-05-02 04:56:00,2016-05-02 06:31:00,2016-05-02 10:00,2016-05-02 11:24,2016-05-02 09:56,2016-05-02 11:31,N909FJ,384,425,,C29
AA2813,N,DFW,ACT,625,710,385,430,635,710,395.0,430.0,3.0,,75,0,,B25,2016-05-02 05:33:00,2016-05-02 06:25:00,2016-05-02 05:58:00,2016-05-02 06:35:00,2016-05-02 10:33,2016-05-02 11:25,2016-05-02 10:58,2016-05-02 11:35,N675AE,385,430,,C4
AA2887,Y,JAN,DFW,625,710,385,430,635,710,395.0,430.0,3.0,Domestic,0,75,B25,,2016-05-02 07:10:00,2016-05-02 08:39:00,2016-05-02 07:10:00,2016-05-02 08:40:00,2016-05-02 12:10,2016-05-02 13:39,2016-05-02 12:10,2016-05-02 13:40,N675AE,385,430,C4,
